ID,Name,Overall Rating,No. of Ratings,Work Life Balance,Culture And Values,Senior Leadership,Compensation and Benefits,Career Opportunities,Sector,Industry Name,Website,Glassdoor
7927,Infosys,3.5,21151,3.4,3.8,2.9,2.8,3.3,Information Technology,IT Services,www.infosys.com,https://www.glassdoor.com/Overview/Working-at-Infosys-EI_IE7927.htm
4138,Accenture,3.7,26073,3.2,3.8,3.2,3.4,3.7,,,www.accenture.com,https://www.glassdoor.com/Overview/Working-at-Accenture-EI_IE4138.htm
9936,Wipro,3.2,11526,3.1,3.3,2.6,2.7,3.2,Information Technology,IT Services,www.wipro.com,https://www.glassdoor.com/Overview/Working-at-Wipro-EI_IE9936.htm
13461,Tata Consultancy Services,3.4,23763,3.5,3.6,2.8,2.9,3.3,Information Technology,Computer Hardware & Software,www.tcs.com,https://www.glassdoor.com/Overview/Working-at-Tata Consultancy Services-EI_IE13461.htm
354,IBM,3.4,30401,3.6,3.4,2.9,3.1,3.3,Business Services,Consulting,www.ibm.com,https://www.glassdoor.com/Overview/Working-at-IBM-EI_IE354.htm
1737,Oracle,3.3,15072,3.7,3.1,2.9,3.2,3.2,Information Technology,Enterprise Software & Network Solutions,www.oracle.com,https://www.glassdoor.com/Overview/Working-at-Oracle-EI_IE1737.htm
327,Hewlett-Packard,3.3,16223,3.6,3.5,2.8,3.1,3.1,Information Technology,Computer Hardware & Software,www.hp.com,https://www.glassdoor.com/Overview/Working-at-Hewlett-Packard-EI_IE327.htm
8014,Cognizant Technology Solutions,3.5,17172,3.4,3.5,3.0,3.2,3.4,Information Technology,IT Services,www.cognizant.com,https://www.glassdoor.com/Overview/Working-at-Cognizant Technology Solutions-EI_IE8014.htm
136340,Mindtree,3.3,2462,3.5,3.6,2.9,2.8,3.2,Information Technology,IT Services,www.mindtree.com,https://www.glassdoor.com/Overview/Working-at-Mindtree-EI_IE136340.htm
1425,Cisco Systems,3.8,12101,4.0,3.8,3.2,3.9,3.5,Information Technology,Computer Hardware & Software,www.cisco.com,https://www.glassdoor.com/Overview/Working-at-Cisco Systems-EI_IE1425.htm
3803,Capgemini,3.4,7666,3.3,3.4,2.8,2.8,3.2,Information Technology,Enterprise Software & Network Solutions,www.capgemini.com,https://www.glassdoor.com/Overview/Working-at-Capgemini-EI_IE3803.htm
253258,Mu Sigma,3.6,1743,2.4,3.7,3.3,2.6,4.1,Business Services,Consulting,www.mu-sigma.com,https://www.glassdoor.com/Overview/Working-at-Mu Sigma-EI_IE253258.htm
553909,HCL Technologies,3.1,8562,3.3,3.0,2.7,2.5,3.1,Information Technology,Computer Hardware & Software,www.hcltech.com,https://www.glassdoor.com/Overview/Working-at-HCL Technologies-EI_IE553909.htm
1327,Dell,3.6,9206,3.8,3.7,3.2,3.5,3.4,Information Technology,IT Services,www.dell.com,https://www.glassdoor.com/Overview/Working-at-Dell-EI_IE1327.htm
135932,Tech Mahindra,3.0,5720,3.1,3.1,2.5,2.4,3.0,Information Technology,IT Services,www.techmahindra.com,https://www.glassdoor.com/Overview/Working-at-Tech Mahindra-EI_IE135932.htm
520007,Samsung India Software Operations,2.8,1112,2.5,2.5,2.2,3.5,2.9,Business Services,Research & Development,www.samsungindiasoft.com,https://www.glassdoor.com/Overview/Working-at-Samsung India Software Operations-EI_IE520007.htm
100303,Thomson Reuters,3.6,6116,4.0,3.7,3.1,3.3,3.2,Information Technology,Enterprise Software & Network Solutions,www.thomsonreuters.com,https://www.glassdoor.com/Overview/Working-at-Thomson Reuters-EI_IE100303.htm
237727,Robert Bosch India,3.3,1280,3.8,3.7,2.7,2.9,3.1,Manufacturing,Industrial Manufacturing,www.boschindia.com,https://www.glassdoor.com/Overview/Working-at-Robert Bosch India-EI_IE237727.htm
10471,SAP,4.2,5324,4.1,4.2,3.8,4.1,4.0,Information Technology,Computer Hardware & Software,www.sap.com,https://www.glassdoor.com/Overview/Working-at-SAP-EI_IE10471.htm
1093046,Hewlett Packard Enterprise | HPE,3.2,5231,3.6,3.3,2.7,3.0,2.9,Information Technology,Enterprise Software & Network Solutions,www.hpe.com,https://www.glassdoor.com/Overview/Working-at-Hewlett Packard Enterprise | HPE-EI_IE1093046.htm
28,Honeywell,3.0,4725,3.0,2.9,2.5,2.8,3.0,Information Technology,Computer Hardware & Software,www.honeywell.com,https://www.glassdoor.com/Overview/Working-at-Honeywell-EI_IE28.htm
29275,Mphasis,3.2,2099,3.4,3.2,2.8,2.7,3.0,Information Technology,Computer Hardware & Software,www.mphasis.com,https://www.glassdoor.com/Overview/Working-at-Mphasis-EI_IE29275.htm
6036,Amazon,3.5,15322,3.0,3.5,3.2,3.7,3.6,,,www.amazon.jobs,https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.htm
8452,CGI,3.3,3869,3.6,3.4,3.0,3.0,3.2,Business Services,Consulting,www.cgi.com,https://www.glassdoor.com/Overview/Working-at-CGI-EI_IE8452.htm
3494,Nokia,3.8,5146,4.1,3.9,3.3,3.5,3.5,,,www.nokia.com,https://www.glassdoor.com/Overview/Working-at-Nokia-EI_IE3494.htm
9304,Huawei Technologies,3.0,2701,2.2,2.6,2.5,3.2,3.1,Telecommunications,Telecommunications Services,www.huawei.com,https://www.glassdoor.com/Overview/Working-at-Huawei Technologies-EI_IE9304.htm
2784,EY,3.7,13676,2.9,3.8,3.4,3.3,4.0,Business Services,Consulting,www.ey.com,https://www.glassdoor.com/Overview/Working-at-EY-EI_IE2784.htm
2800,Goldman Sachs,3.8,4183,2.8,3.8,3.4,3.8,3.9,Finance,Investment Banking & Asset Management,www.goldmansachs.com,https://www.glassdoor.com/Overview/Working-at-Goldman Sachs-EI_IE2800.htm
1519,Intel Corporation,3.7,9494,3.6,3.7,3.0,3.9,3.5,Information Technology,Computer Hardware & Software,www.intel.com,https://www.glassdoor.com/Overview/Working-at-Intel Corporation-EI_IE1519.htm
2763,Deloitte,3.7,18238,3.0,3.7,3.4,3.5,3.9,Accounting & Legal,Accounting,www.deloitte.com,https://www.glassdoor.com/Overview/Working-at-Deloitte-EI_IE2763.htm
219,EMC,3.7,4373,3.7,3.7,3.2,3.8,3.4,Information Technology,IT Services,www.dellemc.com,https://www.glassdoor.com/Overview/Working-at-EMC-EI_IE219.htm
3280,IGATE,3.2,2276,3.1,3.1,2.7,2.8,3.0,Information Technology,IT Services,www.igate.com,https://www.glassdoor.com/Overview/Working-at-IGATE-EI_IE3280.htm
341690,Tesco Bengaluru,3.4,641,3.9,3.8,2.9,3.1,3.0,Information Technology,IT Services,www.tescobengaluru.com,https://www.glassdoor.com/Overview/Working-at-Tesco Bengaluru-EI_IE341690.htm
28187,Aricent,3.3,2199,3.3,3.3,2.8,2.9,3.2,Telecommunications,Telecommunications Services,www.aricent.com,https://www.glassdoor.com/Overview/Working-at-Aricent-EI_IE28187.htm
300494,Flipkart,3.8,717,3.7,3.7,3.1,4.0,3.7,Information Technology,Internet,www.flipkart.com,https://www.glassdoor.com/Overview/Working-at-Flipkart-EI_IE300494.htm
5406,NetApp,3.3,2569,3.9,3.7,2.9,3.8,3.0,Information Technology,Enterprise Software & Network Solutions,www.netapp.com,https://www.glassdoor.com/Overview/Working-at-NetApp-EI_IE5406.htm
28614,Symphony Teleca,3.0,853,3.4,3.0,2.6,2.8,2.9,Information Technology,IT Services,services.harman.com,https://www.glassdoor.com/Overview/Working-at-Symphony Teleca-EI_IE28614.htm
692,Unisys,3.0,1729,3.4,2.9,2.6,2.9,2.7,Information Technology,IT Services,www.unisys.com,https://www.glassdoor.com/Overview/Working-at-Unisys-EI_IE692.htm
19730,ITC Infotech,2.9,635,3.6,2.7,2.5,2.5,2.7,Information Technology,IT Services,www.itcinfotech.com,https://www.glassdoor.com/Overview/Working-at-ITC Infotech-EI_IE19730.htm
2786,Fidelity Investments,3.8,4619,3.8,4.0,3.4,3.9,3.5,Finance,Investment Banking & Asset Management,www.fidelity.com,https://www.glassdoor.com/Overview/Working-at-Fidelity Investments-EI_IE2786.htm
42613,Genpact,3.3,2607,3.4,3.3,2.9,2.6,3.3,Information Technology,IT Services,www.genpact.com,https://www.glassdoor.com/Overview/Working-at-Genpact-EI_IE42613.htm
